Company,Year Founded,No of Founders,Pitchbook Valuation,Founder Makeup Binary,Year Founded.1,No of Founders.1,Pitchbook Valuation.1,Founder Makeup Binary.1
Mercor,,,,,2023.0,3.0,2000000000.0,Has No Confirmed Foreign Founder or Co Founder
Weights & Biases,,,,,2017.0,3.0,1700000000.0,Has No Confirmed Foreign Founder or Co Founder
AEye,,,,,2013.0,4.0,1546000000.0,Has No Confirmed Foreign Founder or Co Founder
Jasper,,,,,2021.0,3.0,1500000000.0,Has No Confirmed Foreign Founder or Co Founder
Snorkel AI,,,,,2015.0,5.0,1300000000.0,Has No Confirmed Foreign Founder or Co Founder
Standard Cognition,,,,,2017.0,7.0,1150000000.0,Has No Confirmed Foreign Founder or Co Founder
LangChain,,,,,2022.0,2.0,1000000000.0,Has No Confirmed Foreign Founder or Co Founder
Vise,,,,,2016.0,2.0,1000000000.0,Has No Confirmed Foreign Founder or Co Founder
Domino Data Lab,,,,,2013.0,1.0,800000000.0,Has No Confirmed Foreign Founder or Co Founder
May Mobility,,,,,2017.0,3.0,734000000.0,Has No Confirmed Foreign Founder or Co Founder
Hebbia,,,,,2020.0,1.0,700000000.0,Has No Confirmed Foreign Founder or Co Founder
StackBlitz,,,,,2017.0,1.0,700000000.0,Has No Confirmed Foreign Founder or Co Founder
Vannevar Labs,,,,,2019.0,2.0,575000000.0,Has No Confirmed Foreign Founder or Co Founder
Sisu Data,,,,,2018.0,1.0,562000000.0,Has No Confirmed Foreign Founder or Co Founder
Descript,,,,,2017.0,1.0,553700000.0,Has No Confirmed Foreign Founder or Co Founder
SafeGraph,,,,,2016.0,1.0,550000000.0,Has No Confirmed Foreign Founder or Co Founder
AMP Robotics,,,,,2014.0,1.0,514930000.0,Has No Confirmed Foreign Founder or Co Founder
Genesis Therapeutics,,,,,2019.0,2.0,424030000.0,Has No Confirmed Foreign Founder or Co Founder
Synack,,,,,2013.0,2.0,402000000.0,Has No Confirmed Foreign Founder or Co Founder
Lilt,,,,,2015.0,2.0,385000000.0,Has No Confirmed Foreign Founder or Co Founder
Verge Genomics,,,,,2015.0,1.0,375000000.0,Has No Confirmed Foreign Founder or Co Founder
Unlearn.AI,,,,,2017.0,2.0,360000000.0,Has No Confirmed Foreign Founder or Co Founder
Sprig,,,,,2018.0,1.0,330000000.0,Has No Confirmed Foreign Founder or Co Founder
AssemblyAI,,,,,2017.0,1.0,300000000.0,Has No Confirmed Foreign Founder or Co Founder
Deepgram,,,,,2015.0,1.0,267440000.0,Has No Confirmed Foreign Founder or Co Founder
Sama,,,,,2008.0,1.0,226000000.0,Has No Confirmed Foreign Founder or Co Founder
Unstructured,,,,,2022.0,1.0,223170000.0,Has No Confirmed Foreign Founder or Co Founder
Slingshot Aerospace,,,,,2016.0,3.0,189750000.0,Has No Confirmed Foreign Founder or Co Founder
ClosedLoop,,,,,2017.0,1.0,164000000.0,Has No Confirmed Foreign Founder or Co Founder
twoXAR,,,,,2014.0,2.0,150000000.0,Has No Confirmed Foreign Founder or Co Founder
Textio,,,,,2014.0,2.0,128000000.0,Has No Confirmed Foreign Founder or Co Founder
Rev.com,,,,,2010.0,2.0,117900000.0,Has No Confirmed Foreign Founder or Co Founder
Amira Learning,,,,,2018.0,2.0,100000000.0,Has No Confirmed Foreign Founder or Co Founder
Cleanlab,,,,,2021.0,3.0,100000000.0,Has No Confirmed Foreign Founder or Co Founder
Kintsugi Mindful Wellness,,,,,2019.0,1.0,94980000.0,Has No Confirmed Foreign Founder or Co Founder
UnifyID,,,,,2015.0,2.0,93490000.0,Has No Confirmed Foreign Founder or Co Founder
Hivemapper,,,,,2015.0,2.0,88000000.0,Has No Confirmed Foreign Founder or Co Founder
Nines,,,,,2017.0,2.0,72450000.0,Has No Confirmed Foreign Founder or Co Founder
Sentropy,,,,,2018.0,4.0,50000000.0,Has No Confirmed Foreign Founder or Co Founder
CrowdAI,,,,,2016.0,3.0,30100000.0,Has No Confirmed Foreign Founder or Co Founder
SigOpt,,,,,2014.0,1.0,26400000.0,Has No Confirmed Foreign Founder or Co Founder
Facet,,,,,2017.0,2.0,19000000.0,Has No Confirmed Foreign Founder or Co Founder
Bearing,,,,,2018.0,2.0,,Has No Confirmed Foreign Founder or Co Founder
Midjourney,,,,,2022.0,1.0,,Has No Confirmed Foreign Founder or Co Founder
Narrativ,,,,,2015.0,1.0,,Has No Confirmed Foreign Founder or Co Founder
Rosebud AI,,,,,2018.0,1.0,,Has No Confirmed Foreign Founder or Co Founder
